Cenário,Família,Fonte,n_simples,p_simples,n_agrup,p_agrup_sc,n_ctrl,p_agrup_cc,n_fe,p_ef_fixos
Base (c/ ROA),H1_retorno,narrow_annual,450,0.15542825801934224,450,0.2743804567916355,432,0.3208072687992627,432.0,0.20303059926627065
Base (c/ ROA),H1_retorno,narrow_quarterly,1300,0.5004125272307212,1300,0.6052495577000987,1226,0.7818950182604442,502.0,0.3480789113079583
Base (c/ ROA),H1_delisting,narrow_annual,527,0.45111379508560945,527,0.6486303354559362,441,0.8600474932254394,,
Base (c/ ROA),H2_revisão,narrow_annual,344,0.7125502659325249,344,0.6471174628085365,339,0.4801063730041276,,
Base (c/ ROA),H2_revisão,narrow_quarterly,999,0.23332103309095234,999,0.23997829245307212,982,0.3830060326529663,,
Sem ROA,H1_retorno,narrow_annual,450,0.15542825801934224,450,0.2743804567916355,432,0.30060439592818866,432.0,0.15887726058012652
Sem ROA,H1_retorno,narrow_quarterly,1300,0.5004125272307212,1300,0.6052495577000987,1226,0.75752921020402,502.0,0.4414961161314501
Sem ROA,H1_delisting,narrow_annual,527,0.45111379508560945,527,0.6486303354559362,441,0.8114406530984193,,
Sem ROA,H2_revisão,narrow_annual,344,0.7125502659325249,344,0.6471174628085365,339,0.4495791369186205,,
Sem ROA,H2_revisão,narrow_quarterly,999,0.23332103309095234,999,0.23997829245307212,982,0.38731437252825074,,
Com tamanho,H1_retorno,narrow_annual,450,0.15542825801934224,450,0.2743804567916355,432,0.3200074313533813,432.0,0.21954099028507956
Com tamanho,H1_retorno,narrow_quarterly,1300,0.5004125272307212,1300,0.6052495577000987,1226,0.7722724518636871,502.0,0.5694795378240596
Com tamanho,H1_delisting,narrow_annual,527,0.45111379508560945,527,0.6486303354559362,441,0.8509581977127696,,
Com tamanho,H2_revisão,narrow_annual,344,0.7125502659325249,344,0.6471174628085365,339,0.48325226954312905,,
Com tamanho,H2_revisão,narrow_quarterly,999,0.23332103309095234,999,0.23997829245307212,982,0.3462030143268643,,
"Com tamanho, sem ROA",H1_retorno,narrow_annual,450,0.15542825801934224,450,0.2743804567916355,432,0.3005877328501,432.0,0.16193768782233908
"Com tamanho, sem ROA",H1_retorno,narrow_quarterly,1300,0.5004125272307212,1300,0.6052495577000987,1226,0.7453053244353589,502.0,0.6533907139392627
"Com tamanho, sem ROA",H1_delisting,narrow_annual,527,0.45111379508560945,527,0.6486303354559362,441,0.8073941798488253,,
"Com tamanho, sem ROA",H2_revisão,narrow_annual,344,0.7125502659325249,344,0.6471174628085365,339,0.4402288095791912,,
"Com tamanho, sem ROA",H2_revisão,narrow_quarterly,999,0.23332103309095234,999,0.23997829245307212,982,0.3468564409619943,,
Sem pares com salto de ano,H1_retorno,narrow_annual,436,0.12487675678509377,436,0.23509647631512864,420,0.23936642683556075,420.0,0.22946089427145577
Sem pares com salto de ano,H1_delisting,narrow_annual,509,0.6679535075525197,509,0.7874047507661215,428,0.9785799440855518,,
Sem pares com salto de ano,H2_revisão,narrow_annual,335,0.6985342019268309,335,0.6315510941601531,330,0.4521735923237574,,
Combinado (sem ROA + sem salto),H1_retorno,narrow_annual,436,0.12487675678509377,436,0.23509647631512864,420,0.22163318618271777,420.0,0.1788670648408961
Combinado (sem ROA + sem salto),H1_delisting,narrow_annual,509,0.6679535075525197,509,0.7874047507661215,428,0.9646077728575392,,
Combinado (sem ROA + sem salto),H2_revisão,narrow_annual,335,0.6985342019268309,335,0.6315510941601531,330,0.4158276856257316,,
